habit_id,habit_name_en,habit_name_cn,category_group_en,category_group_cn,category_name_en,category_name_cn,tracking_ui_type,tracking_unit,tracking_default_target,tracking_min,tracking_max,tracking_increment,time_of_day,estimated_duration_min,difficulty,is_default_bundle,two_min_version_en,two_min_version_cn,custom_target_allowed,notes_for_product
H001,Drink water,喝水,Health & Body,身,Health,养,volume,glasses,8,1,20,1,"Throughout day",1,easy,TRUE,"Drink one full glass of water right now","现在就喝一杯水",TRUE,"Consider cups/ml toggle. Default 8 glasses. Auto-track if smart bottle integration added later."
H002,Vitamins / medication,维生素 / 服药,Health & Body,身,Health,养,boolean,yes/no,1,0,1,1,Morning,2,easy,FALSE,"Put your supplements next to something you do every morning","把补充剂放在你每天早上都会做的事情旁边",FALSE,"Simple Y/N. Consider allowing users to name their stack for personalisation."
H003,Step outside,出门走走,Health & Body,身,Health,养,boolean,yes/no,1,0,1,1,"Any",2,easy,TRUE,"Open your front door and stand outside for 30 seconds","打开家门，在外面站 30 秒",FALSE,"Minimum viable outdoor habit. Pairs well with Morning sunlight."
H004,Floss,用牙线,Health & Body,身,Health,养,boolean,yes/no,1,0,1,1,Evening,2,easy,TRUE,"Floss just one gap between two teeth — that's a start","只清洁两颗牙之间的缝隙 — 这就是开始",FALSE,"Low-friction oral health habit. Gateway habit to better self-care."
H005,Walk 5000 steps,走 5000 步,Health & Body,身,Fitness,劲,number,steps,5000,1000,30000,500,"Throughout day",20,easy,FALSE,"Walk around the block — that's about 1,000 steps","绕着街区走一圈 — 大约 1,000 步",TRUE,"Auto-sync from Apple Health / Google Fit. Show progress ring."
H006,Stretch 5 minutes,拉伸 5 分钟,Health & Body,身,Fitness,劲,duration,minutes,5,1,60,1,"Any",5,easy,FALSE,"Stand up and do 5 slow neck rolls in each direction","站起来，向每个方向慢慢转动脖子 5 次",TRUE,"Low time commitment. Can be done at desk."
H007,Workout,运动,Health & Body,身,Fitness,劲,boolean_optional_text,yes/no,1,0,1,1,"Any",30,moderate,FALSE,"Do 10 bodyweight squats right now","现在做 10 个自重深蹲",FALSE,"Optional text for workout type. Default Y/N completion."
H008,Take the stairs,走楼梯,Health & Body,身,Fitness,劲,boolean,yes/no,1,0,1,1,"Any",2,easy,FALSE,"Take the stairs for just one floor today","今天只走一层楼梯",FALSE,"Classic 'small step' habit."
H009,Eat one good meal,好好吃一餐,Health & Body,身,Nutrition,食,boolean,yes/no,1,0,1,1,Evening,1,easy,TRUE,"Ask yourself: did I eat one real meal today?","问自己：今天我吃了一顿正经饭吗？",FALSE,"Y/N reflection. Lower barrier than calorie tracking."
H010,Eat vegetables,吃蔬菜,Health & Body,身,Nutrition,食,boolean,yes/no,1,0,1,1,"Any",1,easy,TRUE,"Eat one piece of fruit or a handful of raw vegetables right now","现在吃一块水果或一把生蔬菜",FALSE,"Low-friction entry point to better nutrition."
H011,Cook at home,在家做饭,Health & Body,身,Nutrition,食,boolean_optional_text,yes/no,1,0,1,1,"Any",30,moderate,FALSE,"Make tomorrow's lunch tonight — it takes 5 minutes","今晚做明天的午餐 — 只需 5 分钟",FALSE,"Optional text for what you cooked."
H012,Don't skip breakfast,不省早餐,Health & Body,身,Nutrition,食,boolean,yes/no,1,0,1,1,Morning,5,easy,FALSE,"Eat one bite of anything within the next hour","接下来一小时内吃一口任何东西",FALSE,"Very low barrier. Can be disabled by intermittent fasters."
H013,Track calories,记录热量,Health & Body,身,Nutrition,食,number,calories,2000,500,5000,50,"Any",5,hard,FALSE,"Just log what you eat for breakfast today — nothing else","只记录今天早餐吃了什么 — 其他都不用",TRUE,"High-friction habit. Link to MyFitnessPal API."
H014,Sleep before 11 PM,11 点前睡觉,Health & Body,心,Sleep,息,time,bedtime,null,null,null,null,Evening,1,easy,FALSE,"Go to bed 15 minutes earlier than last night","比昨晚早睡 15 分钟",FALSE,"Log bedtime. Surface consistency score."
H015,Wake at consistent time,固定时间起床,Health & Body,心,Sleep,息,time,wake_time,null,null,null,null,Morning,1,easy,FALSE,"Set your alarm for the same time tomorrow — even weekend","把明天的闹钟设在同一个时间 — 即使是周末",FALSE,"Log wake time. Weekend consistency is key."
H016,Wind down 30 min before bed,睡前 30 分钟放松,Health & Body,心,Sleep,息,boolean,yes/no,1,0,1,1,Evening,30,moderate,FALSE,"Dim every light in your home right now","现在把家里所有的灯调暗",FALSE,"Y/N. Pairs with Sleep before 11 PM."
H017,Sleep quality log,记录睡眠质量,Health & Body,心,Sleep,息,scale,1-5 rating,null,1,5,1,Morning,1,easy,FALSE,"Rate last night's sleep from 1 to 5 right now","现在给昨晚的睡眠评分 1 到 5",FALSE,"Simple scale. Surface correlations with other habits."
H018,Read 15 minutes,读书 15 分钟,Health & Body,心,Mind,心,duration,minutes,15,5,120,5,Evening,15,moderate,FALSE,"Read the next page of whatever book is nearest you","读离你最近的书下一页",TRUE,"Allow pages or minutes. Evening anchor most popular."
H019,Sit quietly / meditate,静坐 / 冥想,Health & Body,心,Mind,心,duration,minutes,5,1,60,1,Morning,8,moderate,FALSE,"Sit still for 2 minutes and count your breaths","静坐 2 分钟，数呼吸",FALSE,"Deliberately low time commitment."
H020,Practice gratitude,练习感恩,Health & Body,心,Mind,心,multi_text_required,items,3,1,10,1,Evening,3,easy,FALSE,"Name one thing that went well today","说出今天顺利的一件事",FALSE,"MUST write 3 specific items. Multi-field input."
H021,Learn something new,学一样新的事,Health & Body,心,Mind,心,text_required,text,null,null,null,null,Evening,2,easy,FALSE,"Ask someone: 'What's one thing you learned recently?'","问别人：'你最近学到的一件事是什么？'",FALSE,"MUST write one sentence of new learning."
H022,Zen garden coloring,禅意涂色,Health & Body,心,Mind,心,duration,minutes,15,5,60,5,Evening,15,moderate,FALSE,"Doodle on a piece of paper for 2 minutes","在一张纸上涂鸦 2 分钟",TRUE,"Low pressure creative outlet."
H023,Write a note,写一则笔记,Health & Body,心,Reflection,省,text_required,text,null,null,null,null,"Any",3,easy,TRUE,"Write one sentence about how you feel right now","写一句话描述你现在的感受",FALSE,"MUST write something. Gateway to journaling."
H024,Log mood,记录心情,Health & Body,心,Reflection,省,scale_optional_text,1-5 rating,null,1,5,1,Evening,1,easy,FALSE,"Rate your day from 1 to 5 right now","现在给你的一天评分 1 到 5",FALSE,"Scale required. Text optional."
H025,Note one gratitude,写下一件感激的事,Health & Body,心,Reflection,省,text_required,text,null,null,null,null,Evening,1,easy,FALSE,"Think of one thing that went well today — that's it","想一件今天顺利的事 — 就这样",FALSE,"MUST write one gratitude. Lower barrier than H020."
H026,Evening reflection,晚间省思,Health & Body,心,Reflection,省,text_required,text,null,null,null,null,Evening,5,easy,FALSE,"Write down one thing you learned about yourself today","写下你今天了解到的关于自己的一件事",FALSE,"MUST write reflection. Structured prompting."
H027,Call family,给家人打电话,Social & Relationship,缘,Connection,缘,boolean_optional_text,yes/no,1,0,1,1,"Any",10,easy,FALSE,"Call one family member for just 2 minutes","给一位家人打电话，只说 2 分钟",FALSE,"Optional text for who you called."
H028,Reach out to a friend,联系一位朋友,Social & Relationship,缘,Connection,缘,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Text one person right now who you haven't spoken to this week","现在就给本周没说过话的人发条消息",FALSE,"Optional text for who."
H029,Quality time with partner,陪伴爱人,Social & Relationship,缘,Connection,缘,duration_optional_text,minutes,15,5,120,5,Evening,15,easy,FALSE,"Put phones away and talk to your partner for 5 minutes","把手机收起来，和伴侣交谈 5 分钟",TRUE,"Optional text for activity."
H030,Be present with kids,专心陪孩子,Social & Relationship,缘,Connection,缘,duration_optional_text,minutes,15,5,60,5,Evening,15,easy,FALSE,"Put your phone in another room and ask your child about their day","把手机放在另一个房间，问你的孩子今天过得怎么样",TRUE,"For users with children."
H031,Device-free family time,无电子设备的家庭时光,Social & Relationship,缘,Connection,缘,duration_optional_text,minutes,30,15,180,15,Evening,30,moderate,FALSE,"Put every phone in the house in another room for 30 minutes","把家里所有手机放在另一个房间 30 分钟",TRUE,"Higher commitment. Ideal for weekly dinners."
H032,Act of kindness,做一件善事,Social & Relationship,缘,Connection,缘,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Send one genuine compliment to someone right now","现在就给某人发一句真诚的赞美",FALSE,"Optional text for what you did."
H033,No phone in bed,睡前不看手机,Social & Relationship,缘,Restraint,戒,boolean,yes/no,1,0,1,1,Evening,1,easy,TRUE,"Charge your phone on the other side of the room tonight","今晚把手机放在房间另一头充电",FALSE,"One of the highest-leverage digital wellness habits."
H034,No social media before noon,中午前不刷社交,Social & Relationship,缘,Restraint,戒,boolean,yes/no,1,0,1,1,Morning,null,moderate,FALSE,"Delete social apps from your home screen — put them in a folder","把社交应用从主屏幕删除 — 放进一个文件夹",FALSE,"Allow custom 'social-free until' time."
H035,No alcohol today,今日不饮酒,Social & Relationship,缘,Restraint,戒,boolean,yes/no,1,0,1,1,Evening,1,moderate,FALSE,"Pour a non-alcoholic drink tonight instead","今晚倒一杯无酒精饮料代替",FALSE,"Track sober days. Show streak."
H036,No sugar today,今日不吃甜食,Social & Relationship,缘,Restraint,戒,boolean,yes/no,1,0,1,1,"Any",1,moderate,FALSE,"Skip one sugary thing you usually have today","今天跳过你通常吃的某样含糖食物",FALSE,"Avoidance habit."
H037,No smoking today,今日不吸烟,Social & Relationship,缘,Restraint,戒,streak,days,1,0,null,1,"Any",1,hard,FALSE,"Don't have one cigarette today — just today","今天不抽一支烟 — 就今天",FALSE,"Day counter. Milestone celebrations."
H038,No-spend day,今日不花钱,Social & Relationship,缘,Restraint,戒,boolean,yes/no,1,0,1,1,"Any",1,moderate,TRUE,"Decide right now: will today be a no-spend day?","现在决定：今天要不要不花钱？",FALSE,"Streak of no-spend days is motivating."
H039,Screen time limit,限制屏幕时间,Social & Relationship,缘,Restraint,戒,number,minutes,120,15,480,15,"Any",null,moderate,FALSE,"Set a 30-minute timer before opening any social app tonight","今晚打开任何社交应用前设置一个 30 分钟计时器",TRUE,"Pull from Screen Time API. Allow custom limit."
H040,Language practice,语言练习,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,15,5,60,5,Morning,15,moderate,FALSE,"Open Duolingo and complete one lesson right now","打开 Duolingo 完成一课",TRUE,"Optional text for what you practiced."
H041,Skill study,技能学习,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,30,15,120,15,"Any",30,moderate,FALSE,"Open your course and do 5 minutes — just 5","打开你的课程做 5 分钟 — 就 5 分钟",TRUE,"Allow naming the skill. Cumulative hours is key."
H042,Review top 3 priorities,回顾 3 件要事,Productivity & Growth,长,Growth,长,multi_text_required,text,null,null,null,null,Morning,5,easy,FALSE,"Write down the one most important thing for today","写下今天最重要的一件事",FALSE,"MUST write 3 priorities. Multi-field input."
H043,Creative work,创意工作,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,30,10,120,10,"Any",30,moderate,FALSE,"Make one small thing right now — even a rough draft","现在做一件小事 — 即使是草稿",TRUE,"Optional text for what you created."
H044,Learning log,学习日志,Productivity & Growth,长,Growth,长,text_required,text,null,null,null,null,Evening,2,easy,FALSE,"Write one sentence: what's one thing I noticed or learned today?","写一句话：我今天注意到或学到的一件事是什么？",FALSE,"MUST write one sentence. Lightweight."
H045,Deep work block,深度工作,Productivity & Growth,长,Growth,长,duration_optional_text,minutes,120,25,240,25,Morning,120,hard,FALSE,"Close all browser tabs except one and work for 25 minutes","关闭除一个之外的所有浏览器标签，工作 25 分钟",TRUE,"Optional text for what you worked on."
H046,Log spending,记录支出,Financial,财,Financial,财,multi_text_required,text,null,null,null,null,Evening,5,moderate,FALSE,"Log the last thing you spent money on","记录你最后花钱买的东西",FALSE,"MUST write item and amount. Category optional."
H047,Transfer to savings,转存储蓄,Financial,财,Financial,财,number,amount ($),null,0,null,null,Morning,2,easy,FALSE,"Transfer $1 to savings right now — seriously, just $1","现在转账 1 美元到储蓄 — 认真的，就 1 美元",TRUE,"Track amount. Progress toward savings goal."
H048,Weekly budget review,每周预算回顾,Financial,财,Financial,财,text_required,text,null,null,null,null,"Any",15,moderate,FALSE,"Open your bank app and look at this week's spending right now","打开你的银行应用看看这周的支出",FALSE,"MUST write reflection. Weekly frequency."
H049,Invest today,今日投资,Financial,财,Financial,财,boolean_optional_text,yes/no,1,0,1,1,"Any",5,moderate,FALSE,"Open your investment app and look at your account balance","打开你的投资应用看看账户余额",FALSE,"Optional text for amount/where."
H050,Credit score check,检查信用评分,Financial,财,Financial,财,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Check your credit score right now — most banks show it for free","现在查看你的信用评分 — 大多数银行免费提供",FALSE,"Optional text for score."
H051,Make the bed,整理床铺,Home & Environment,居,Environment,居,boolean,yes/no,1,0,1,1,Morning,3,easy,TRUE,"Pull up your duvet right now — that counts","现在拉平你的被子 — 这就算",FALSE,"Classic keystone habit."
H052,Tidy for 10 min,打扫 10 分钟,Home & Environment,居,Environment,居,duration,minutes,10,5,30,5,Evening,10,easy,FALSE,"Set a 10-minute timer and just start — anywhere","设置一个 10 分钟的计时器，随便从哪里开始",FALSE,"Timer-based framing is important."
H053,Declutter one thing,断舍离一件物品,Home & Environment,居,Environment,居,boolean_optional_text,yes/no,1,0,1,1,"Any",5,easy,FALSE,"Pick up the first thing you see that you don't need — let it go","拿起你看到的第一件不需要的东西 — 让它走",FALSE,"Optional text for what you decluttered."
H054,Gardening,园艺,Home & Environment,居,Environment,居,duration_optional_text,minutes,10,5,60,5,"Any",10,easy,FALSE,"Water one plant right now","现在给一株植物浇水",TRUE,"Optional text. For users with plants."